Nombre;Zona;InformacionTexto;BanderaAzul;QCalidad;Concejo;Accesos;Tipo de Playa;Salvamento;Puntos accesibles;Servicios;Longitud;Observaciones;Más Información;Ordenanzas de las mascotas;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Coordenadas;Slide;Título;Url
Playa de Bahínas;Centro de Asturias;Un paisaje agreste cubierto de oscuras arenas Una pequeña concha, resguardada de los vientos y con arena oscura. Así es la playa de Bahínas, en el concejo de Castrillón. Apenas 200 metros de gran belleza paisajística y fuerte oleaje,  Poco frecuentada, la playa de Bahínas tiene entre sus sedimientos restos fósiles y cantos rodados. En sus inmediaciones, hay un camping por el que discurre un arroyo que termina en el extremo oriental del arenal.;;;Castrillón;A pie fácil y coche;Cantos, bloques y arena;;;Playa sin Humo,Duchas,Aseos,Aparcamiento,Accesible,Accesible,Servicio salvamento;210 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos a la playa desde 15/05 hasta 15/09. En los paseos marítimos, en las proximidades de las playas excepto en los sistemas dunares y en la península de la Peñona, se permitirá la presencia de animales de compañía durante todo el año, debiendo en todo caso ir siempre sujetos por una correa fija de longitud no superior a dos metros y, cuando fuera necesario por las características del animal, deberán ir provistos de bozal. Servicio salvamento: Temporada estival.  ACCESIBLE – PRACTICABLE Aseos accesibles. Rampa de acceso. Clasificada como Zona de Especial Protección para las Aves (ZEPA) y Lugar de Importancia Comunitaria (LIC).;;;;;;;;;;;+43.578277,-6.00626;/documents/39908/43458/Playa-de-Bahinas-3.jpeg.jpg/1ba3f5a3-c2d4-afa5-14ec-22dbd2e4ffaf?t=1712054153328,/documents/39908/43458/Playa-de-Bahinas-2.jpg/1c2d783b-6bcc-42fc-c57e-8d44fbd8181f?t=1712054174323,/documents/39908/43458/Playa-Bahinas-1.jpg/f37d369d-6d4c-c372-abc1-6b25f2c2c192?t=1712054198351;Playa de Bahínas,Playa de Bahínas,Playa de Bahínas;,,
Playa de Anguileiro/La Grande/Campos;Occidente de Asturias;El paraíso del surf y del sol en el occidente Es una playa urbana, situada en el mismo Tapia, que se abre junto a los meandros del río Anguileiro y que aúna dos zonas conocidas como Los Campos y La Ribeira. Hacia el este, se encuentran más calas urbanas, como Maleguas, As Furadas y Ribeiría. Este arenal está formado por arena fina de color tostado. Dispone de todo tipo de servicios, un área recreativa, un amplio aparcamiento y un paseo marítimo que conecta con el puerto. Se trata del punto de la costa preferido por los surfistas. De hecho, acoge una competición internacional que se celebrada cada Semana Santa.;true;;Tapia de Casariego;A pie y en coche;Arena fina dorada;;;Servicio hostelería,Duchas,Aseos,Aparcamiento,Aparcamiento autocaravanas,Servicio salvamento,Surf;410 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso de animales domésticos a las playas y zonas de baño, a excepción del que resulte preciso para el desarrollo de actividades debidamente autorizadas por la autoridad sanitaria competente. En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Queda autorizada en las playas la presencia de perros lazarillo en compañía de la persona a quien sirvan, sin perjuicio de la responsabilidad de su poseedor y/o propietario ni de las medidas que el mismo deba adoptar para evitar molestias o riesgos paro el resto de usuarios. Quienes vulneren la prohibición del número 1, o no cumplan con las condiciones preceptuadas en el número 3 anteriores, deberán abandonar de inmediato las playas con el animal, a requerimiento verbal de los Agentes de la autoridad, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador. Servicio salvamento: 01/07 a 15/09 (11:30 a 19:30 h) Puntos accesibles: Silla anfibia (26/06 a 09/09 de 11:45 a 19:15 h): reservar con 48 h. de antelación 684 644 806;;;;;;;;;;;+43.566243,-6.949220;/documents/39908/43452/anguileiro-tapia+%281%29.jpg/77975b53-0f1b-68db-63c6-8235d9d6ebe5?t=1674171595813,/documents/39908/43452/PlayaAnguileiro1.jpg/75b909dc-b394-0d98-1cc5-34f18d5c2cae?t=1674171597440,/documents/39908/43452/playa-anguileiro-tapia-%281%29.jpg/2cb78f97-9014-d0b0-0c6e-52e7683be5f8?t=1674171595126,/documents/39908/43452/Playa+Anguileiro+2.jpg/44404f28-3d68-70db-273f-ea00b95931c3?t=1674171586904;Playa de Anguileiro,Playa de Anguileiro,Playa de Anguileiro,Playa de Anguileiro;,,,
Playa Espasa;Oriente de Asturias;Adecuada para aprender a volar… cometas En el límite del concejo de Caravia con el de Colunga encontramos Playa Espasa y dentro de este arenal , están también la Playa de Moracey, con el Pozu les Pipes y la Playa del Visu. Este conjunto de playas se comunican entre sí en marea baja. En su conjunto, es casi un kilómetro de arena fina color tostado, con un oleaje moderado y buenos equipamientos...  Con muchas posibilidades, La Espasa es idónea para iniciarse en el surf o para probar el vuelo de cometas.  Como el resto de arenales del concejo, puede avistarse desde el Mirador del Fitu, situado en pleno corazón de la sierra del Sueve. Ordenanza de tráficoOrdenanza de estacionamiento: Se prohíbe el estacionamiento y pernocta en los aparcamientos y en todo el perímetro del parque playa de cualquier caravana, autocaravana, vehículo mixto o cualquier vehículo apto para la acampada.  ;;;Caravia y Colunga;Rodado.;Arena fina, color tostado.;Diario: 01/07 a 09/09.;Aparcamiento (con plazas reservadas). Mesa adaptada. Duchas y baños adaptados. Silla anfibia. Rampas y pasarelas El paseo situado detrás de la playa también es accesible.;Aparcamiento de pago,Aseos,Duchas,Zona de merendero,Zona de juegos infantiles,Servicio de limpieza;1.150 m.;;;Está prohibido el acceso de perros y demás animales domésticos a las playas, arenales y pedreros, desde 01/06 hasta 30/09.;;;;;;;;;+43.47429,-5.21482;/documents/39908/43497/2022-la-espasa+%282%29.jpg/eb693544-45fa-03d9-186e-bf7044b5b316?t=1674171634166,/documents/39908/43497/2022-la-espasa+%284%29.jpg/7571b35e-246a-8d1f-8d38-676c57b7ae42?t=1674171635520,/documents/39908/43497/2022-la-espasa+%283%29.jpg/de08dbaf-d812-8330-921f-0ed332a25758?t=1674171634925;Playa de la Espasa / El Viso,Senda al yacimiento de icnitas de la Playa de La Espasa,Playa de la Espasa / El Viso;,,
Playa del Canal;Oriente de Asturias;Un espectacular y alargado cañón de agua salada Villanueva llama la atención por el estrecho y alargado canal a través del que el agua del mar llega a la arena blanca y a los bolos de la playa. Se trata de un espectacular cañón que encaja el arenal en el paisaje y que ha sido ampliamente fotografiado. Este canal protege el baño ya que el fuerte oleaje queda muy reducido. En el límite exterior del cañón, donde conecta con el mar, se produce un efecto sumidero que convierte en peligroso el baño. La playa está en un entorno natural y carece de servicios. El acceso a la playa puede realizarse en coche desde Villanueva, pero el tramo final tiene que hacerse a pie.;;;Llanes;A pie;Arena blanca y bolos;;;;25 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador.    ;;;;;;;;;;;+43.45879,-4.94516;/documents/39908/43530/PlayaVillanueva1.jpg/9e9a5830-245e-39d7-866c-1d190d19e9ca?t=1674171665463;Playa de Villanueva / El Canal;
Playa del Silencio o Gavieiro;Occidente de Asturias;La magia del silencio del mar El lugar donde el rugir del Cantábrico se convierte en arrullo. Esto es la playa del Silencio o Gavieiro, una concha protegida por acantilados e islotes de diversos tamaños que aplacan la fuerza del mar y que hacen de este lugar, probablemente, uno de los más bellos de Asturias. Con un acceso a pie de unos 500 metros, mediante numerosas escaleras, esta ensenada de claros cantos rodados es un paraje casi virgen, aunque muy visitado. No dispone de servicios, y quizá por ello su belleza se conserva intacta. Situada en la localidad de Castañeras.;;;Cudillero;A pie fácil;Bolos;;;Aparcamiento;500 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales en la playa desde 01/06 hasta 30/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal.  ;;;;;;;;;;;+43.566421,-6.295526;/documents/39908/43344/PlayaSilencio1.jpg/3929247f-02b2-e0a4-f0f1-2d5e46ecffe1?t=1674171473340,/documents/39908/43344/PlayaSilencio2.jpg/2510b771-621e-da9e-dea3-8a536a1b7bc6?t=1674171472735,/documents/39908/43344/PlayadelSilencio3.jpg/954ff9ce-3966-854d-adf2-80ce8d246876?t=1674171474623,/documents/39908/43344/PlayadeSilencio4.jpg/8c975f9a-00a0-4096-7363-c454c9fcbae8?t=1674171473946;Playa de Silencio / Gavieiro,Playa de Silencio / Gavieiro,Playa de Silencio / Gavieiro,Playa de Silencio / Gavieiro;,,,
Playa de Verdicio o Tenrero;Centro de Asturias;Un interesante campo dunar bañado por fuerte oleaje Para el bañista, la playa de Verdicio (también conocida como Tenrero) destaca sobre todo por sus fuertes olas, que rompen en la misma orilla, y por la belleza de su entorno, con vegetación dunar y gruesa arena dorada. Pero además, de Verdicio hay que señalar sus yacimientos del Paleolítico inferior, de trascendental importancia así como el recinto castreño de El Cuerno, situado en las colinas que se ven hacia la zona del Cabo Peñas. A la derecha la playa se cierra por una cadena de islotes. Forma parte del Paisaje Protegido del Cabo Peñas.;;;Gozón;A pie fácil y coche;Arena dorada;;;Servicio hostelería,Duchas,Aparcamiento,Servicio salvamento,Surf;330 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y presencia de cualquier tipo de animales, incluso domésticos, a las playas, aguas y zonas de baño, así como a los paseos marítimos, a excepción de los que resulten precisos para el desarrollo de actividades debidamente autorizadas por la autoridad sanitaria competente. En el caso de animales abandonados que deambulen por la playa, serán responsables de los mismos sus propietarios. El poseedor de un animal, sin perjuicio de la responsabilidad subsidiaria del propietario, será responsable de los daños y perjuicios que ocasione a las personas, instalaciones y medios en general. Servicio salvamento (diario): 15/06 a 08/09;;;;;;;;;;;+43.626322,-5.876741;/documents/39908/43524/2020-verdicio+%283%29.jpg/20031173-8312-7170-61d0-a71ff1600352?t=1674171663612,/documents/39908/43524/2020-verdicio-%282%29.jpg/b64e1b0d-b7f0-14fc-f73d-3f63deb3de99?t=1674171664189,/documents/39908/43524/2020-verdicio+%281%29.jpg/7409977c-9725-c9d6-8328-0ee5455f6b73?t=1674171662969,/documents/39908/43524/PlayaVerdicio2.jpg/701c3d77-d2e5-fb62-cef4-512b4baddb87?t=1674171660202;Playa de Verdicio,Playa de Verdicio,Playa de Verdicio,Playa de Verdicio;,,,
Playa de Sorraos;Oriente de Asturias;Una cala que prolonga la playa de Barro Sorraos es una pequeña cala de acceso peatonal que se une durante la bajamar a la playa de Barro, uno de los referentes turísticos de Llanes. Tiene forma de concha, presenta unos altos niveles de ocupación y dispone de buenos servicios. Se le atribuye un carácter semiurbano y se encuentra muy cerca de un cámping. El acceso es sencillo y rápido. Está flanqueada por un tramo de las sendas costeras que se prolongan a lo largo del litoral asturiano.;;;Llanes;A pie fácil, coche y tren;Arena dorada y rocas;;;Servicio hostelería,Duchas,Aseos,Aparcamiento;100 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador.  ;;;;;;;;;;;+43.436379,-4.822898;/documents/39908/43347/playa-sorraos.jpg/62157a5c-f2a5-8a08-cb26-d205d598d061?t=1674171476557,/documents/39908/43347/PlayaSorraos1.jpg/26a192a4-bc21-adee-c8cd-5d1727b0a7a5?t=1674171475950;Playa de Sorraos,Playa de Sorraos;,
Playa la Beciella;Oriente de Asturias;Un rincón solitario y tranquilo a la vera del Camino de Santiago Arena de color tostado compone la orilla de esta playa rectilínea, situada en el concejo de Caravia, al este de La Espasa, tras los acantilados de Peña Forada. Con una ocupación media, dispone de un acceso sencillo y está bañada por un oleaje moderado. No dispone de equipamientos, ni de salvamento en temporada alta, y hay un camping a 400 metros. Se trata de un arenal ideal para aquellos que recorren el Camino de Santiago, ya que esté discurre junto a él. También es adecuado para la pesca deportiva. Ordenanza de tráficoOrdenanza de estacionamiento: Se prohíbe el estacionamiento y pernocta en los aparcamientos y en todo el perímetro del parque playa de cualquier caravana, autocaravana, vehículo mixto o cualquier vehículo apto para la acampada.  ;;;Caravia;A pie ;Arena, color tostado.;;;;275 m.;;;Queda prohibido el acceso y la presencia de animales domésticos en la playa (arenales y dunas) desde 01/06 hasta 30/09. En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal.;;;;;;;;;+43.475467,-5.196892;/documents/39908/43596/PlayaBeciella1.jpg/d796b631-f0f5-df52-eb0b-23e14c476fa2?t=1674171733476;Playa de Beciella;
Playa de Almenada;Oriente de Asturias;Un rincón increíble con doble salida al mar Un tómbolo de tierra conforma esta playa distinta, preciosa y muy complicada de describir. La orilla, en ese caso son dos, una a cada lado del visitante. En frente, donde generalmente el bañista encuentra el mar abierto, aparecen acantilados rocosos que conducen a una pequeña isla. Detrás, más acantilados que resultan complicados de salvar. De difícil acceso, lo más sencillo es llegar a ella a través del agua, desde la playa de San Martín. Es especialmente peligroso permanecer en ella mientras sube la marea, ya que la salida es complicada.;;;Llanes;A pie fácil;Arena blanca;;;;80 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador.  ;;;;;;;;;;;+43.432541,-4.789482;/documents/39908/43575/PlayaAlmenada1.jpg/38257573-0da3-a44c-4c70-96d01f7a2d88?t=1674171713516;Playa de Almenada;
Playa de Moniello;Centro de Asturias;Una pequeña cala rocosa todavía utilizada como pequeño embarcadero Moniello es una bella cala rocosa localizada al oeste de Lluanco/Luanco. Cerrada al occidente por la punta de Moniello es aún en la actualidad utilizada como puerto de pequeñas embarcaciones. Muy próximo a ella se encuentra un área recreativa muy bien acondicionada. Entre los atractivos de Moniello destacan las pozas situadas bajo la Punta de Aguión, a las que se accede siguiendo el camino que parte de la urbanización de La Corona. Son grandes masas caliza que forman piscinas naturales en bajamar. Forma parte del Paisaje Protegido del Cabo Peñas.;;;Gozón;A pie y en coche.;Bolos;;;Duchas,Aparcamiento;80 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y presencia de cualquier tipo de animales, incluso domésticos, a las playas, aguas y zonas de baño, así como a los paseos marítimos, a excepción de los que resulten precisos para el desarrollo de actividades debidamente autorizadas por la autoridad sanitaria competente. En el caso de animales abandonados que deambulen por la playa, serán responsables de los mismos sus propietarios. El poseedor de un animal, sin perjuicio de la responsabilidad subsidiaria del propietario, será responsable de los daños y perjuicios que ocasione a las personas, instalaciones y medios en general.  ;;;;;;;;;;;+43.629397, -5.794328;/documents/39908/43281/PlayaMoniello1.jpg/c376c1d7-0926-f027-b6ca-bf9890ef6d41?t=1674171398820,/documents/39908/43281/playa-moniello.jpg/a5fce333-d3be-70d8-ddf3-75f8101d053b?t=1674171399486;Playa de Moniello,Playa de Moniello;,
